tool		CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975
run set		t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/5_taskwise/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
combinations/Problem05_label46+token_ring.04.cil-1.yml	true	OUT OF MEMORY	617.819393841	483.0693990630025	14999.998464				ERROR (1)	0.519760473	0.2995401910011424	29.126656			
combinations/Problem05_label46+token_ring.05.cil-1.yml	true	TIMEOUT	714.235754148	586.5185828329959	13778.071552				unknown	682.386088756	557.5441972840053	13564.465152			
combinations/Problem05_label46+token_ring.05.cil-2.yml	false	TIMEOUT (false(unreach-call))	711.393251804	589.7096408430007	13803.827200				false(unreach-call)	720.15609772	594.7529174270021	13717.471232			
combinations/Problem05_label49+token_ring.04.cil-1.yml	true	OUT OF MEMORY	507.186543733	402.90399214699573	14999.998464				ERROR (1)	0.578447427	0.34213973200530745	33.546240			
combinations/Problem05_label49+token_ring.05.cil-1.yml	true	TIMEOUT	752.388816001	615.7638612340015	13820.764160				unknown	762.576967007	611.4387539570016	14491.901952			
combinations/Problem05_label49+token_ring.05.cil-2.yml	false	TIMEOUT	728.880378151	600.7018420389977	13804.265472				unknown	677.102094471	555.4585033320036	13734.617088			
combinations/pc_sfifo_1.cil-2+token_ring.05.cil-2.yml	false	TIMEOUT	711.945352694	587.9113120490001	14880.329728				ERROR (1)	0.528498532	0.3223748120071832	29.306880			
combinations/pc_sfifo_3.cil+token_ring.05.cil-1.yml	true	TIMEOUT	703.614523207	584.8096120499977	13907.034112				unknown	663.842077209	552.2115852230054	14077.001728			
combinations/pc_sfifo_3.cil+token_ring.05.cil-2.yml	false	TIMEOUT	801.449898965	669.8773750229993	14761.578496				ERROR (1)	0.564105759	0.3321383309958037	31.903744			
ldv-consumption/32_7a_cilled_linux-3.8-rc1-drivers--media--pci--cx18--cx18.ko-main.cil.out.yml	true	OUT OF MEMORY (true)	362.92081256	277.86902253600056	14999.998464				ERROR (1)	0.59599219	0.3682293000019854	33.730560			
ldv-consumption/32_7a_cilled_linux-3.8-rc1-drivers--media--usb--em28xx--em28xx.ko-main.cil.out.yml	true	OUT OF MEMORY (true)	607.17609126	439.1626281879944	14999.998464				ERROR (1)	0.624355187	0.3752437329967506	33.185792			
ldv-consumption/32_7a_cilled_linux-3.8-rc1-drivers--net--ethernet--qlogic--qlge--qlge.ko-main.cil.out.yml	true	OUT OF MEMORY (true)	505.904389293	347.3624213820003	14999.998464				ERROR (1)	0.524297677	0.3010759549943032	32.743424			
ldv-linux-3.16-rc1/43_2a_consumption_linux-3.16-rc1.tar.xz-43_2a-drivers--media--pci--cx18--cx18.ko-entry_point.cil.out.yml	true	OUT OF MEMORY (true)	573.601514142	400.4396573359991	14999.998464				ERROR (1)	0.538140437	0.32672267900488805	29.528064			
ldv-linux-3.16-rc1/43_2a_consumption_linux-3.16-rc1.tar.xz-43_2a-drivers--net--ethernet--sis--sis900.ko-entry_point.cil.out.yml	true	TIMEOUT (true)	802.620147901	579.6236903360004	12742.012928				ERROR (1)	0.596816516	0.36117167699558195	35.377152			
ldv-linux-3.16-rc1/43_2a_consumption_linux-3.16-rc1.tar.xz-43_2a-drivers--net--fddi--defxx.ko-entry_point.cil.out.yml	true	OUT OF MEMORY (true)	507.358222701	404.82203210700027	14999.998464				ERROR (1)	0.604979932	0.348027051993995	32.542720			
ldv-linux-3.16-rc1/43_2a_consumption_linux-3.16-rc1.tar.xz-43_2a-drivers--net--wireless--ipw2x00--ipw2100.ko-entry_point.cil.out.yml	true	TIMEOUT (true)	800.913443531	678.5756147569991	12199.985152				ERROR (1)	0.639941008	0.3651193640107522	29.396992			
ldv-validator-v0.8/linux-stable-a9e7fb5-1-32_7a-drivers--media--rc--imon.ko-entry_point_ldv-val-v0.8.cil.out.yml	false	TIMEOUT	734.2999266	459.64654296499793	14017.605632				unknown	727.316624874	455.21803426300175	13996.351488			
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--infiniband--core--ib_cm.ko-entry_point.cil.out.yml	true	TIMEOUT (true)	718.894520481	451.7777728800065	14999.998464				ERROR (1)	0.588490129	0.357402474997798	32.309248			
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--net--ethernet--emulex--benet--be2net.ko-entry_point.cil.out.yml	true	TIMEOUT (true)	802.626555313	510.7487128440007	14395.031552				ERROR (1)	0.51790085	0.2991459189943271	29.118464			
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--staging--rts5208--rts5208.ko-entry_point.cil.out.yml	true	TIMEOUT (ERROR (recursion))	801.141094455	684.7862714580006	12286.119936				ERROR (1)	0.600540827	0.36519911099458113	32.735232			
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-08_1a-drivers--usb--host--xhci-hcd.ko-entry_point.cil.out.yml	true	TIMEOUT (true)	800.766264392	599.083428897	14671.552512				ERROR (1)	0.576751273	0.34609457800979726	33.861632			
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--block--rsxx--rsxx.ko-entry_point.cil.out.yml	true	OUT OF MEMORY (true)	367.527415839	275.0990436989996	14999.998464				ERROR (1)	0.567649906	0.3438481019984465	31.809536			
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--hwmon--w83627hf.ko-entry_point.cil.out.yml	true	TIMEOUT (true)	787.985879888	716.6863750529992	14999.998464				ERROR (1)	0.578929389	0.340784051004448	33.288192			
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--infiniband--core--ib_cm.ko-entry_point.cil.out.yml	true	TIMEOUT (true)	711.463396212	464.95547785500094	14999.998464				ERROR (1)	0.585610129	0.3591669240122428	32.321536			
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--md--raid456.ko-entry_point.cil.out.yml	false	OUT OF MEMORY	537.435964536	402.5388336219985	14999.998464				ERROR (1)	0.54607373	0.31882300099823624	29.519872			
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--media--pci--cx18--cx18.ko-entry_point.cil.out.yml	true	OUT OF MEMORY (true)	450.700090373	331.0689026360051	14999.998464				ERROR (1)	0.546785556	0.31757464600377716	30.519296			
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--media--usb--dvb-usb-v2--dvb-usb-mxl111sf.ko-entry_point.cil.out.yml	true	true	513.150648424	419.14231118000316	14881.312768				OUT OF MEMORY (true)	536.999558042	425.0456527429924	14999.998464			
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--message--fusion--mptctl.ko-entry_point.cil.out.yml	true	TIMEOUT	700.536520382	452.18991542000003	13970.931712				unknown	659.415628819	413.5040989459958	13994.762240			
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--net--wireless--airo.ko-entry_point.cil.out.yml	true	OUT OF MEMORY (true)	602.598580842	409.1090157889994	14999.998464				ERROR (1)	0.584247928	0.35927447699941695	35.520512			
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--power--bq2415x_charger.ko-entry_point.cil.out.yml	true	OUT OF MEMORY (true)	466.146867046	317.9752285659997	14999.998464				ERROR (1)	0.50674341	0.29373010400740895	29.376512			
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--staging--rts5208--rts5208.ko-entry_point.cil.out.yml	true	TIMEOUT (ERROR (recursion))	800.718440675	703.4915706550019	13104.631808				ERROR (1)	0.582205053	0.34474138100631535	32.419840			
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--usb--host--xhci-hcd.ko-entry_point.cil.out.yml	true	TIMEOUT (true)	802.616659903	576.1645455500002	13369.774080				ERROR (1)	0.599388758	0.3508178600022802	32.301056			
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--atm--idt77252.ko-entry_point.cil.out.yml	true	TIMEOUT (true)	802.584548056	530.5689559630009	14650.142720				ERROR (1)	0.574696075	0.3448314270062838	29.646848			
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--atm--solos-pci.ko-entry_point.cil.out.yml	true	OUT OF MEMORY (true)	513.246090418	443.64116987799935	14999.998464				ERROR (1)	0.573192675	0.3500309849914629	32.219136			
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--block--cciss.ko-entry_point.cil.out.yml	true	OUT OF MEMORY (true)	546.009951907	379.2808202910019	14999.998464				ERROR (1)	0.594258724	0.362931349009159	32.387072			
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--block--mtip32xx--mtip32xx.ko-entry_point.cil.out.yml	true	OUT OF MEMORY (true)	614.415474275	422.3504212620028	14999.998464				ERROR (1)	0.540073126	0.32665611400443595	31.834112			
