tool		CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43973	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975	CPAchecker statistics-refactor:43975
run set		t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_700s_taskwise_1_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value	t_900s_taskwise_2_safetyzone_integration-nightly-value
/Users/ludwig/home/Studium/Bachelor Informatik/9. Semester/cpachecker/Notizen/Experimente/5_taskwise/programs/benchmarks/		status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations	status	CPU Time (s)	Wall Time (s)	Memory (MB)	Size of reached set	Number of iterations	Number of abstraction computations
array-patterns/array3_pattern.yml	true	unknown	7.029852459	3.6548138309990463	197.378048				unknown	7.614790927	3.9440276099921903	193.961984			
array-patterns/array4_pattern.yml	true	unknown	9.952767104	5.1637998039987	201.924608				unknown	8.160681242	4.261132435000036	197.738496			
array-patterns/array5_pattern.yml	true	unknown	7.103712816	3.691375442998833	189.542400				unknown	7.50761311	3.9198775269906037	195.674112			
array-patterns/array6_pattern.yml	true	unknown	6.773883971	3.5016108009986056	192.163840				unknown	7.378559612	3.833537818005425	187.645952			
array-patterns/array7_pattern.yml	true	unknown	7.473650441	3.877825794999808	197.214208				unknown	9.283163499	4.808825143991271	191.311872			
array-patterns/array8_pattern.yml	true	unknown	7.544514686	3.9143258970034367	180.506624				unknown	7.381301641	3.854645437997533	185.212928			
array-patterns/array9_pattern.yml	true	unknown	7.62883738	3.9793946230020083	184.213504				unknown	7.215166838	3.762805284000933	184.205312			
array-cav19/array_init_nondet_vars.yml	true	unknown	6.532606363	3.4100431430015306	174.911488				unknown	6.757264291	3.512869353988208	179.482624			
array-cav19/array_min_and_copy_shift_sum_add.yml	true	unknown	7.879770956	4.068719027000043	197.328896				unknown	7.683480278	3.988783856999362	203.485184			
array-cav19/array_tiling_poly6.yml	true	unknown	6.235656087	3.2404140590006136	172.982272				unknown	6.822606815	3.5928533780097496	171.802624			
array-cav19/array_tiling_tcpy.yml	true	unknown	6.650381769	3.4366484120000678	176.726016				unknown	6.303193455	3.302900378999766	176.238592			
array-fpi/brs1.yml	true	unknown	6.603707258	3.423057511998195	173.486080				unknown	6.731606403	3.5071330400096485	174.575616			
array-fpi/brs1f.yml	false	unknown	6.449224173	3.3373550300020725	176.791552				unknown	6.924040847	3.626967326999875	173.228032			
array-fpi/brs2.yml	true	unknown	6.745089864	3.4853400159990997	177.635328				unknown	6.687189558	3.4664014970039716	173.502464			
array-fpi/brs2f.yml	false	unknown	7.308401667	3.782891617000132	176.226304				unknown	6.992149379	3.624080301000504	175.996928			
array-fpi/brs3.yml	true	unknown	8.176686894	4.245661370998278	177.635328				unknown	6.914023453	3.6298711659910623	181.657600			
array-fpi/brs3f.yml	false	unknown	6.371975405	3.3135046179995697	172.781568				unknown	7.045490034	3.7219010080007138	181.542912			
array-fpi/brs4.yml	true	unknown	6.16097177	3.2243855170017923	174.022656				unknown	6.799281364	3.557098292003502	174.575616			
array-fpi/brs4f.yml	false	unknown	6.531731061	3.4103623730006802	172.470272				unknown	8.375729171	4.3553091030044015	181.354496			
array-fpi/brs5.yml	true	unknown	6.178443701	3.2385175560011703	182.546432				unknown	6.553596712	3.425156943994807	176.705536			
array-fpi/brs5f.yml	false	unknown	6.110949325	3.1769583729983424	172.535808				unknown	6.518813952	3.3756786300073145	173.297664			
array-fpi/conda.yml	true	unknown	8.715399518	4.533805004997703	175.669248				unknown	6.377745734	3.3206353660061723	174.137344			
array-fpi/condaf.yml	false	unknown	6.877614445	3.6790869270007533	176.926720				unknown	7.038405873	3.693833239012747	171.167744			
array-fpi/condg.yml	true	unknown	6.93838273	3.6178573749966745	179.318784				unknown	7.127428313	3.6929385340044973	186.970112			
array-fpi/condgf.yml	false	unknown	6.859347552	3.5815712730000087	176.898048				unknown	7.293726591	3.821934182997211	180.731904			
array-fpi/condm.yml	true	unknown	6.937573998	3.635878804998356	177.934336				unknown	7.120671827	3.705170624991297	172.621824			
array-fpi/condmf.yml	false	unknown	6.405868058	3.337145571000292	178.757632				unknown	7.228483666	3.777430486996309	177.995776			
array-fpi/condn.yml	true	unknown	6.412315251	3.3475047889987763	182.370304				unknown	6.971670432	3.6487432599969907	177.618944			
